ETF,2025-04-30 0:00,2025-03-31 0:00,2025-02-28 0:00,2025-01-31 0:00,2024-12-31 0:00,2024-11-30 0:00,2024-10-31 0:00,2024-09-30 0:00,2024-08-30 0:00,2024-07-31 0:00,2024-06-28 0:00,2024-05-31 0:00,2024-04-30 0:00,2024-03-28 0:00,2024-02-29 0:00,2024-01-31 0:00,2023-12-29 0:00,2023-11-30 0:00,2023-10-31 0:00,2023-09-29 0:00,2023-08-31 0:00,2023-07-31 0:00,2023-06-30 0:00,2023-05-31 0:00,2023-04-28 0:00,2023-03-31 0:00,2023-02-28 0:00,2023-01-31 0:00,2022-12-31 0:00,2022-11-30 0:00,2022-10-31 0:00,2022-09-30 0:00,2022-08-31 0:00,2022-07-31 0:00,2022-06-30 0:00,2022-05-31 0:00,2022-04-30 0:00,2022-03-31 0:00,2022-02-28 0:00,2022-01-31 0:00,2021-12-31 0:00,2021-11-30 0:00,2021-10-31 0:00,2021-09-30 0:00,2021-08-31 0:00
GBLF CN Equity,8324195.862,14298816.83,13426447.75,12351106.15,11434310.63,11191797.87,4544466.476,4978122.711,4299982.796,3671487.35,3015654.087,2596348.362,1585324.402,1399922.295,1196703.644,1000219.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADIV CN Equity,3061357.079,8525789.719,8510703.907,9327725.601,8881926.689,8434592.934,8202036.285,9011417.999,7739654.465,7111857.7,4840722.656,4222543.774,3204439.392,2809232.254,1201352.348,1201194.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMOM CN Equity,15598775.32,2828507.996,2586110.935,2343930.054,2096127.033,2081213.951,2026278.019,2027150.917,1972224.083,1948436.966,1902627.068,1867554.073,1842965.984,1849545.078,1012055.016,995750.0458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMOM/B CN Equity,7962006.704,16564025.28,18021079.92,18369874.99,17300419.61,19237919.91,18066175.6,17986746.14,17620602.66,17061326.35,21069640.55,19954263.3,21196587.61,1157880.02,1129765.034,1027725.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVLU CN Equity,6804762.33,9505105.826,10380590.82,10615614.22,9882823.26,9937878.278,9279846.951,8970869.014,8747255.027,8669800.426,10005829.94,9435752.992,9064914.392,1171294.975,1144585.037,1031900.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVLU/B CN Equity,75301951.51,7006996.204,7309156.753,8562681.005,7106459.507,8685559.993,8227871.174,8337068.631,8254587.005,8096015.908,6685764.919,6651364.02,6434078.242,2172039.986,2083889.961,2021369.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPYM CN Equity,208859315.6,79645746.65,91125740.79,92219404.24,89108866.97,86026904.7,37920000.59,34927175.92,32109097.7,32241789.06,30640490.76,30348265.74,29631536.05,21986000.06,2112369.919,2029479.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPYM/U CN Equity,14683082.61,202595770.3,194339919.4,179576099.4,179854911.7,173894497.9,149264575.2,132477199.2,111005310.1,88542259.81,56395843.94,56501570.18,53386832.21,50196911.43,14319391.99,3301484.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBIL CN Equity,82506269.07,12408065.85,11716870.1,9501462.457,9964966.163,9106153.579,8258577.026,6343630.407,5945169.751,6449389.036,5466758.652,5433195.055,5833890.597,3952330.432,3570834.15,2008414.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPYT/U CN Equity,48243912.38,72500000,56371386.05,46249816.51,41365911.77,38750000,36250000,34987890.24,38885393.81,32622070.88,31249811.65,30000000,28750000,31262373.92,32499935.53,28750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
