ETF,2025-04-30 0:00,2025-03-31 0:00,2025-02-28 0:00,2025-01-31 0:00,2024-12-31 0:00,2024-11-30 0:00,2024-10-31 0:00,2024-09-30 0:00,2024-08-30 0:00,2024-07-31 0:00,2024-06-28 0:00,2024-05-31 0:00,2024-04-30 0:00,2024-03-28 0:00,2024-02-29 0:00,2024-01-31 0:00,2023-12-29 0:00,2023-11-30 0:00,2023-10-31 0:00,2023-09-29 0:00,2023-08-31 0:00,2023-07-31 0:00,2023-06-30 0:00,2023-05-31 0:00,2023-04-28 0:00,2023-03-31 0:00,2023-02-28 0:00,2023-01-31 0:00,2022-12-31 0:00,2022-11-30 0:00,2022-10-31 0:00,2022-09-30 0:00,2022-08-31 0:00,2022-07-31 0:00,2022-06-30 0:00,2022-05-31 0:00,2022-04-30 0:00,2022-03-31 0:00,2022-02-28 0:00,2022-01-31 0:00,2021-12-31 0:00,2021-11-30 0:00,2021-10-31 0:00,2021-09-30 0:00,2021-08-31 0:00
CGRE CN Equity,43538893.46,83682747.41,85378737.35,82494673.33,80529714.48,84675007.83,81818963.58,83848109.38,81575870.89,78162272.04,71937812.76,71044997.14,70254328.59,74938783.18,72952636.48,71902855.38,73603983.62,69913010.63,66368585.27,66895345.86,72011183.55,70434230.04,62464587.53,61938392.28,69014930.28,63464065.18,65427170.01,67398734.99,63135229.08,68733889.07,63883294.21,63935416.02,70266164.92,75031994.91,60291266.02,64256540.09,68661895.36,68942249.12,69336507.88,71838244.36,72127552.33,69846649.17,66754652.69,57191044.06,62089045.67
TOWR CN Equity,2876642.765,45345509.15,46229820.44,58790602.21,57664814.57,60917649.22,60500272.75,66327062.42,65168219.57,62902450.75,58751102.26,58867086.7,57043868.64,66388298.75,66224639.89,65611692.81,75686684.7,78905343.68,75759337.66,76936636.16,82085576.06,84404252.05,82441663.6,81873176.19,85587226.06,84364736.37,88024890.42,90039570.52,74052662.37,75412441.64,71994249.63,62150442.7,67427552.8,64196852.16,60282435.32,65011036.63,68652648.93,68358018.64,61271101.28,59725485.23,62294275.57,56099341.2,56033998.49,51848726.51,53384148.84
PHR CN Equity,7945926.905,2896219.033,4437709.066,4334071.824,4225424.612,4501934.882,4483476.011,4602791.191,4445941.142,4368206.058,4030136.75,4083844.803,3831360.133,4177641.777,4192505.462,4088040.235,4216149.972,4090158.264,3632298.271,36599019.61,39580765.41,41628410.42,41222202.89,40014763.71,41321707.87,41034881.65,40160698.01,42294733.59,38800346.49,40835053.01,34528435.77,32634692.12,34294012.04,34438205.34,29352661.72,30948012.83,17262095.17,6282079.445,0,0,0,0,0,0,0
SCGR CN Equity,12039567.09,8221098.614,13935775.85,13607404.04,13244355.2,14103042.41,14404528.19,15224481.44,14611063.19,14160016.58,12665658.38,12641121.1,12472559.17,13397632.41,13381833.65,13380056.57,13378889.66,16913324.26,15889243.22,16692152.02,17609108.73,18193510.72,18179487.8,18013943.39,18626737.31,18664913.94,19768347.07,19997551.82,18349989.8,18968156.24,17872326.18,17948895.07,19893680,20778030.11,20108143.9,23428466.42,23435482.41,24270864.34,23481775.05,23609255.08,24857080.94,22662878.32,21978499.6,21033519.17,21148830.18
QRET CN Equity,16626473.24,12914129.66,11717680.93,11709296.04,11501087,11743665.93,11691353.85,12393903.73,12034561.04,11975036.43,11588996.15,11523644.4,11483443.07,12167204.07,11922397.99,11763108.68,11607879.83,11633115.96,10691851.52,11187127.21,11836616.71,12173712.8,12161439.8,12362520.27,12390190.12,12462536.24,12582876.8,12699140.45,11779466.34,12479233.22,12074892.76,17484283.45,18185292.39,18774749.47,17991132.4,19492578.51,21154832.27,22349151.99,21569499.3,21875204.94,24168657.8,22814213.49,22303180.69,21665514.35,22010417.46
GIGR CN Equity,0,11522877.5,11816274.26,11568090.82,11245345.31,11975140.38,11659573.36,11869136.05,11465354.92,11260288.24,10390952.3,10422372.44,10098346.71,10661763,10427993.01,10211360.93,10542316.44,10000559.23,9160423.279,9305459.595,10032424.16,10086631.01,9830622.101,9814093.018,10341393.28,10178248.6,10557911.68,10978467.56,10195974.73,10639416.5,9978754.425,9817884.827,10885311.13,17028465.27,15876404.57,17144343.57,17984241.49,18495779.8,18035539.63,6217738.724,6602020.264,6276258.469,6212924.957,6020022.964,6384419.25
GIGR/B CN Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2480682.85,2443442.345,2225021.267,3074596.786,3319110.489,3404239.273,3364736.176,3307690.048,3451566.315,3413952.255,3499990.463,3696369.553,3388419.342,3127788.544,2937067.556,3284867.096,3788600.159,4065599.823,3790999.985,4164199.829,4340999.985,4512799.835,4336600.113,4526800.156,4906800.079,4033574.963,4065774.965,4370199.966,5219325.113
TEC CN Equity,2693467784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112364.292,2082165.241,1922018.051,1943916.917,2108202.934,2113450.05,2094292.164,2104840.994,2197455.883,2166651.011,2229389.668,2318665.743,2148190.737,2262431.86,2126624.107,2093249.083,2314125.061,2438874.96,2291125.059,2463999.987,2584875.107,12653400.42,12270000.46,12819599.53,13266974.97,3282750.034,3212549.973,3090149.975,3286950.016
TECI CN Equity,8596793.175,3176886318,3420306253,3561576605,3399740594,3208960631,2987162986,2910846004,2804583846,2646003353,2728792136,2503810392,2352270118,2430577035,2343927269,2144945121,2044464799,2002899006,1725902005,1707074878,1827802007,1666238356,1481648018,1353408671,1246949956,1243611472,1300118348,1337260396,1160282098,1277488989,1229916393,1164846774,1251246387,1295340084,1147062725,1257553722,1253326970,1426275422,1452928103,1748812985,2116115847,2115728593,2067271628,1960622689,2060222454
BBIG CN Equity,0,8012831.831,8432945.824,8313838.768,9700171.28,8482710.457,6344863.415,6122632.027,7252922.344,7001192.522,6956674.29,6526160.431,6555117.559,6914265.347,7044103.146,6779248.095,6518557.549,6313130.808,4665496.23,4827686.191,5134012.699,5281949.401,5100180.03,4913623.452,4562383.89,4836804.986,4527295.947,4380859.137,3930858.85,4257463.217,3800744.176,3587081.909,3933138.371,4119482.517,4293764.305,4988577.89,4363249.898,4324816.132,2308837.509,2350787.258,2844226.456,0,0,0,0
BBIG/U CN Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1359566.593,3699434.28,3748737.431,3655992.222,3301784.992,3584703.255,3839855.003,4106187.63,3820921.612,3780092.812,3620370.197,3629398.441,3360320.377,3362987.137,3032704.926,3310845.566,3125557.423,2996107.864,3231315.994,3295210.648,2960273.838,3236457.253,3176157.475,3569255.733,3520379.162,4855763.245,6732433.796,7112970.352,7054718.494,6858778,6576153.848
TEC/U CN Equity,14005119.41,0,0,0,0,0,0,0,0,0,0,0,0,0,1360217.713,3685263.551,3736430.973,3660168.449,3304522.905,3574806.39,3849516.903,4099492.748,3815585.682,3788168.008,3621305.499,3631546.906,3353425.079,3367157.81,3030465.21,3331151.655,3129113.224,2989926.444,3221843.432,3296883.353,2960273.732,3232490.967,3168863.991,3563688.567,3523990.003,4850606.349,6732167.401,7137191.947,7066119.015,6870149.613,6581105.331
ZEA CN Equity,9437031909,14293778.56,20235831.37,21082714.44,18389113.01,13165733.26,12327785.58,12041452.25,11690661.23,11807112.93,7927642.021,7360286.778,6947911.392,10743696.12,7069096.528,6556827.635,6292423.05,6195012.186,5612429.14,2790506.815,2971470.204,2939980.913,2849379.234,2753898.903,2528037.648,2521364.017,2312054.695,2280603.615,2063762.616,2276443.527,2187356.932,2131657.39,2286049.658,2375201.568,2102939.585,0,0,0,0,0,0,0,0,0,0
XEF CN Equity,11358954324,9135281233,8962565290,9008320887,8392113776,8465784264,8633904801,8737941725,8698502572,8585403174,8214576500,7919348809,7591217294,7594203001,7344391302,6712058504,6561939035,6407652060,6279158107,6298880389,6664534329,6735913725,6805095381,6894687572,7463774320,6796057764,6098372337,5914004243,5398811444,5381292307,4722681001,4501238851,5083694415,5224422585,4926182007,5442085583,5226951612,5530409519,5624721455,5747490580,5408879330,5261588978,5216737968,5141307238,5308355067
VIU CN Equity,5617915054,10812995010,10525648880,10229555070,9206396310,9189090552,9046449589,9146102827,8956460057,8803832399,8207367131,8384391180,8089282787,8057550945,7584934589,7211950523,6847928183,6625227722,6191185909,6196919104,6383095559,6405282629,6156345326,6133857370,6353716180,6130746097,5970090715,5980939590,5634784524,5667448319,5113120880,4885695980,5130544537,5200579597,4881996925,5210286704,5185845893,5378218262,5592029420,5622894791,6059715072,5933521843,5857119760,5760026756,5806164999
XIN CN Equity,1361558378,5389510872,5279650092,5122695334,4756893750,4708724253,4672206206,4745442470,4659920081,4564665180,4286689061,4313530106,4144160028,4143872303,3961670116,3776438854,3671249373,3580068918,3312971331,3360161697,3482932022,3440083347,3320063645,3287388436,3404845444,3308200794,3246534052,3256538536,3060341423,3073407248,2734672654,2581631429,2728093373,2773870229,2593747007,2838289053,2809203988,2904734524,2871832099,2854597421,2891125020,2751399523,2711410778,2644915755,2683676930
TPE CN Equity,2814679468,1354670897,1381239616,1346831785,1307392355,1326571468,1383286236,1403110349,1407267713,1344105039,1331598165,1362538659,1308161217,1337611401,1366554044,1310249579,1289522348,1277312439,1219975417,1252315065,1274026566,1284067727,1258681601,1247425948,1254232768,1231492275,1218850217,1229081888,1165145304,1219138549,1122018348,1063362011,1168296533,1213094716,1148252790,1254956446,1242668962,1262523835,1247561685,1295309647,1346967118,1328589588,1361792515,1311373611,1338054224
XFH CN Equity,1644288840,2728881627,1883763515,1844861301,1726377236,1710842466,1670751442,1699451939,1670112387,1642507377,1549805086,1553393431,1485659438,1467310904,1408412152,1329988451,1275528202,1237749369,1151820044,1145955234,1178923184,1181268046,1135890918,1123221213,1161243024,1116462846,1096222211,1094016771,1011383512,999189979.5,903585101.9,864011419.7,904621496.6,923999547.3,877760437.1,937876339.5,940363346.8,958709570.6,957685127,972033076.8,999557924.9,974699418.6,985901461.6,985384625.3,1007132371
ZDM CN Equity,1049944163,1627806587,1643155296,1594104395,1509362903,1519874799,1489306083,1496369076,1492549226,1465749953,1416362645,1439901346,1354567574,1329792409,1244655506,1201343097,1126854588,1089799616,1013094198,1035090227,1030431457,1039867837,999465208.1,974174410.6,981167182.9,934039119.9,912861489.7,901662373.9,827263322.1,886129396,837263015.3,797865310.5,847088768,849064879.6,779914973.8,840206526.9,845035402.1,850778991.7,866134179.7,882502834.2,873113932.5,834052696,849366357.6,802431740.8,812798829.8
VEF CN Equity,774676568.5,1000611568,987152681.7,950228015.2,907575755.7,908562912.5,884292674.1,888259031.9,887147984.8,850361098.4,807541727.8,827994032.4,792906084.3,787800280.5,755773017.9,674767329.3,666464741.2,671712611.3,617492769.6,628021609.4,657514096.9,673322227,659722964.6,670848329.4,667310563.1,656434593.4,634192694.9,640034981.1,611049168.6,605407119.4,542913837.4,527260710.7,567687261.3,601588854.5,576819480.1,600914814,623629730.5,621282962.5,744201382.1,716792645.7,721854466.2,644511714.2,637536978.7,624764594,626797989.6
QDX CN Equity,1061314122,709317504.6,710128796.8,689145034.6,650771484.3,661535241.7,645178443.1,647738864.1,649607350.2,644315489.1,630282611,641335487.4,615441904.2,630404431.1,602707861.3,572498885.3,570251145.2,569032092.6,542446442.9,553232218.3,576922287.1,586430032.6,574034898.4,556129947.1,558728714.9,538803382.8,532954747.3,537765041.2,504297545.2,535106973.6,495043963.2,477008073.8,521247300.7,536421583.2,513312387.7,545955918.5,547843971.6,557526413,549989327.4,562251601.2,567829192.5,547180112.5,560694520.2,539965174.4,548381545.4
VDU CN Equity,510413056.2,1020457334,1052482617,1047939338,997247198,996152526.9,996192167.8,991868149.6,963687788.8,934996508.8,891977812.5,878605576.2,846722034.3,830228492.2,794148303.2,754077054.7,721281549.7,692795424.5,640771665.6,635503559.9,652331381.1,637901550.3,611975242.5,568936164.6,571503771.1,549035405.3,523773501,508126797.9,486498773.8,490294846.8,435460154.3,411970524.2,425420444.6,427867121.9,386652449.6,409322648.6,390129864.1,395674290.2,378355151.4,352120007.6,341486777.1,316952636.7,295669632.6,273066164,261465053.3
HXDM CN Equity,710732535.2,497590386.2,473103436.5,459333237.5,438545647.5,442069845.9,436163248.6,447084760.4,443936838.6,439808903,419283235.2,430945567,412594952.8,414367201,400502826.5,383407882.8,382076958.4,376526151.2,364722785.1,373883955.5,391294861.1,399587182,391198210.7,388079816.9,399234007.6,398818745.4,396395368.6,392071035,358861633.1,368773139.3,333874910.9,320446102.8,339449012.1,351463025.8,323701296.9,352796393.8,355073545.1,374513936.9,377787334.3,389616270.8,402107782.8,400377612.3,411705882.2,404218461.4,419984012.8
HXDM/U CN Equity,711969900.7,690993279.2,679804375.3,656920625.1,605358821.8,593236702.9,575886495.3,575358157.3,557278615.7,578517235.5,578023852.8,600657170.9,580187840,584173204,562202923.6,534904829.5,523278553.2,504801501.4,474696530,478697745.9,489780700.5,493430385.4,476546077.4,447668075.5,451343542.9,433524573.8,420927477.6,376266186.6,351030478,355208421.5,319744873.2,305877989.9,320418054.9,324443466.7,301483767.2,324281107.6,324449828.8,331607230.7,326924201.2,327608099.7,288170192.2,759095998.8,761692521.4,755286933.6,801409378.6
VI CN Equity,465330065.7,690297040.4,678512165.1,650931555.2,606011551.8,593130776.6,575865845.9,574613680.7,558333069.1,578580086.7,577791407.3,601252131.5,579703147.3,583806645,562472193,532855848.7,521560699,505378134.8,475090180.7,477376131.7,491013125.5,492625878.7,475880588.2,448624400.3,451460171.5,433781213.2,420063733.4,376732824.7,350771212,357386976.1,320108642.8,305246879.4,319478767.7,324608151.7,301483771.6,323883722.9,323704783.4,331089999.3,327259519.1,327260169.3,288158799.8,761680924.3,762923416.1,756539137.7,802012763.4
SITI CN Equity,474716972.6,461688824.5,452540770,438382247.5,419690699.7,423089765.2,418738073.7,402352072.7,400368995.7,385244952.1,374718974.3,374667243.6,356242241.7,351010678.3,329523817.1,310584160.1,297195583.2,285260634.4,269887146.4,273027324.2,273534975.5,254714392.1,249417018.9,239655073,247394888.3,238689647.2,232560443.4,224296420.1,203937428.4,232107521.8,215709372.3,199064665.1,213319020.7,216516073.6,205601402.3,225181488.4,229340014.5,230951805.9,224888801.2,229076351.2,231230678.8,220611180.8,223265890.1,215643572.2,217309293.9
CIEI CN Equity,68154158.12,469574652.9,399737366.4,366233226.5,338214680.4,303878161.8,299218262.1,287446630.9,289522591.9,326012738.1,312708087.2,319276002.6,308867814.5,299289291.5,294053169.1,272924303.1,268690278.2,249863262.6,237178765.1,227711288.9,239547226.1,245482382.6,238472487,245113060,257044702.9,249708437.3,243424650.2,241330793.9,224760490.3,226392161.6,203748465.8,194157319.7,205795472.8,209936821.5,199313034.2,219834479.2,215496329.9,221807963,213121485.9,207650076.3,193945502,173397106.1,160574034.1,151340955,131372325.9
XEF/U CN Equity,61867061.1,64493709.09,62620963.1,60404566.48,54611229.52,52323767.95,48803585.39,47468333.63,48534996.13,48372996.28,44140250.59,45282352.83,42833812.24,42104938.94,39892414.71,37568602.75,35915182.92,35191916.51,33089457.46,32661037.68,33074053.72,32404266.26,29555211.78,29185567.62,30230948.5,29351722.67,28943032.12,39105990.51,36889737.18,36944598.91,33234547.38,30965739.25,31546619.8,32389020.54,31053059.01,13147049.9,13239240.26,13698369.6,13929999.73,14256479.84,14850219.73,14445760.54,14567139.82,14588770.48,14970689.77
QDXH CN Equity,29974060.06,38280859.46,33474230.87,31857700.2,31179337.13,30520173.08,28591220.4,29368628.69,29028471.98,25923548.41,24857843.57,25693520.39,24910915.55,25135218.33,23518542.62,22827662.52,21589941.07,21245220.34,19850167.36,20232111.18,20979911.54,19491922.02,18122606.05,24828292.44,25801683.57,25895341.83,23062445.47,13994610.62,17037207.28,19596006.71,17776163.56,15030572.5,15801952.31,15488059.2,14090352.7,15572516.04,15703478.85,15538756.98,15705317.7,15146523.35,15914024.18,13764420.19,13106402.45,12237163.48,12558673.74
THE CN Equity,94923174.91,28842572.02,44950336.91,44752407.23,42420898.44,41516930.69,40997693.94,41670156.86,40502906.8,40179817.2,37529027.71,38164453.74,35741567.23,34817009.58,33486580.51,29685540.16,27856061.71,26009353.64,23717081.68,23102737.43,23351794.43,15534451.52,10604181.06,11495389.56,11597606.66,11336992.65,11308229.83,12318222.5,11526280.75,12072362.37,10165691.38,9670262.909,10372717.29,11714158.25,11135103.15,12009815.98,10815719.6,5483068.848,4305199.28,4470304.871,2297342.072,2216974.792,2284819.946,2224602.356,2267669.067
FCIQ CN Equity,832159914,83327271.08,81984209.2,78036094.19,72676465.03,69208585.21,65008151.15,62129820.25,58085193.16,54772084.95,50434016.75,44440948.82,40833893.06,38530249.74,34813030.39,30144508.41,25908931.02,21999912.21,19744542.5,18733731.65,17909945.68,18215501.4,16215869.38,14639631.56,14273192.31,12330459.17,11261811.16,12789555.36,8015065.765,8385678.864,7851227.57,7454943.848,7979636.383,8140446.472,9672224.045,10359994.89,10369611.74,10524675.37,10352023.12,10582090.38,10981596.95,8524519.348,8747572.327,8577222.443,8714350.891
FCIQ/U CN Equity,827448680.3,785658392.7,745599586.5,719181824.7,641304891.6,631997471.6,606684777.5,607405643.7,595266832.9,595640748,556986007.7,547843078.6,525984466.6,524304176.3,487777553.6,440371365,432260617.1,415856446.8,386788805.8,404201650.7,446788801.2,460390508.7,448858758.2,432530784.6,444823625,430088964.8,415702627.4,406263877.9,367081012.6,402670019.3,373645793.2,368969856.3,385709618,415291689.9,385327450.4,429803251.1,453153598,496665000.9,498160514.8,555941944.9,602567993.2,598783176,596674067.7,579277135.5,597562176.5
VXM/B CN Equity,256886396.1,784866897.6,742115001.2,712624599.3,641996119.1,631884032.6,0,0,0,0,0,548385915.6,525544442.5,523975600.7,488010799.2,438684968.7,430841280.2,416331298.7,387109773.5,403085658.6,447912267.4,459640630.5,448232499.6,433455406,444938912.7,430343837.5,414849409.7,406767212.2,366810556.1,405139164.2,374070899.3,368208804.9,384578910.1,415503218,385327397.8,429276626.1,452113641.1,495889903.2,498670766.4,555351529.4,608167174.9,600822971,0,0,0
FCIV CN Equity,563418420.4,248001207.7,255041855.3,252971852.9,249194597,247321561.6,246004270.4,250276753.3,260389570.3,265467413.6,253331203.8,280384675.9,273848665,268817714.2,250729867.4,244979274.3,242709087.4,267972758.7,260784072.1,255681993.7,263970873.1,289265967.8,278150721.4,273565697.9,299749014.7,298924212.6,314937089,296592638.1,315475781.1,383124854.2,338641840.3,327985631.3,349279275.9,381794112,395343226.7,454193102.5,481239202.4,543298469.5,577525917.2,592828147.2,589385438.3,573734167.2,592247777.6,601594477.2,615561864.5
CIE CN Equity,143728908,509815338.1,431444606,402322511.7,345069053.6,329633863.4,318334348.3,309833015.4,294632573.7,285990577.7,257566322.7,248911598.2,225040407.2,209945274.7,203148308.6,188094010.4,178278644.6,171959216.3,157773197.9,150448454.6,143212718.6,137731501.1,127909523.6,125425841.5,130934142.1,126169321.5,121983971.8,112536622.2,104691519.2,88279040.53,77402239.99,75956427.96,82708737.95,83619599.53,79581148.34,92284499.74,87588932.99,79961699.87,81461581.23,75615279.77,77392798.81,75172588.92,82957402.61,85976102.83,89961067.2
VXM CN Equity,26330762.96,144358250.6,142821700.7,139913770.9,137416769,138128197.7,140550025.9,142955613.7,141235926.8,141824810.8,137659857.6,145709025.6,141625800.7,141726171.9,136514271.9,134888486.7,133889998.8,131798911.3,123987764.9,124114134.6,127618773.3,128670651.6,124209140.4,123284006.5,129164896.4,125135789.9,126594485.1,128116621.6,120071124.1,120721950.7,109952510.6,103767159.3,109883145,113542030.3,110886074.1,123842216.5,121885128,126118537.9,127903049.5,132340568.5,132099762.5,127214694.4,130736335.4,132575235,134957293.3
ZDI CN Equity,521489411.6,15477893.28,14860504.76,14455286.77,14433107.06,13827486.52,14678029.21,14847264.91,14481020.82,15645992.91,15178112.59,16336862.72,16026592.21,16429990.83,15676223.94,15318674.72,14042533.83,14672331.99,13994107.19,14482430.87,13626498.77,14337335.59,13731358.17,13244481.03,13562712.72,13220032.48,13552833.38,13032127.03,12218186.65,13026494.37,12783061.32,12141061.76,13004727.62,13054682.03,12814186.76,13809710.91,13617467.56,28652564.66,32335852.25,30742248.22,30505412.87,29840085.31,32021165.3,31797969.54,31607003.58
RID CN Equity,125404177.4,499186772.4,476749451.9,467739878,430620558.1,442096889,448199524.7,468917626.6,512420295,516808443.3,492549794.6,495442713.3,477841077.1,474316436.7,465088007.5,450501115,443319358.3,425357864,413498370.6,412003819.7,435869600.4,433244328.2,417211372.4,467778508.3,504578906.7,491738226.9,406322930.6,404595735.7,386843551.1,394949824.1,351624418.4,344065528.2,362473259,383241328.7,375575791.5,411770757.8,411073419.7,422697389.2,439675672.9,455842091.2,451404963.4,441304245.6,461299449.4,461034800.6,483868444
ZDH CN Equity,159287687.6,122768060.2,123360211.4,121246077.9,106363209.1,104746308.5,105174709.9,106592563.8,109984759.1,110593075.4,108065133.1,113727439.4,109434354.8,110292002.2,109582376.6,106350459.2,105734906.8,103490696,99236023.62,99899184.7,99522230.72,100973725.1,99619727.61,97701112.17,103560620.9,101066024.8,103923915.1,102929812.4,101598835.9,108205490.1,104076550.3,100600271.9,106869362.6,112079512.8,110979643.5,120305603.6,121825377,126253589.1,128515246.5,132371723.9,137449255.4,134289456.7,135636047.5,136802153.1,143021039.5
VIDY CN Equity,357881447.5,161881104.6,158701481.5,155571600.9,148967411.4,161699843.2,162615477.6,173268094,225975144.5,229351025.7,224185925.6,224856539.4,217738650.7,217837071.2,210645361.2,203450041.7,199131352.4,185287825.3,181704186.4,180735752,197038722.7,190029724.9,185348426.7,245969402.1,249761958.9,244178406.1,168255895.8,166741634.8,162149953.4,134865112.5,87789896.86,85506206.19,95122377.58,96090777.64,95056754.02,101683935,100883257.2,103395146.9,196289928.6,157108724,162162553.9,109109929.6,109586512.9,107403974.3,110861220
FCID CN Equity,107846656.8,316123541.5,276736025.8,256198965.6,228085557.1,220146549.5,216815902.7,218397784,201070212.4,196112203.2,177771125,174011927,160932911.7,155575837.3,132933258.2,120856821.5,109317002.7,102990611.6,99222371.58,100668003.6,100916016.6,100122418.1,93559896.28,90148497.1,89298301.22,83508387.28,79349394.7,73827325.34,73624327.47,70459746.55,62906081.96,59591116.09,62543339.54,60821541.21,57608752.25,64291000.37,63468499.18,65326499.94,60369481.28,50401108.74,49811729.24,37822348.59,38761199,38651550.29,34314150.24
RIDH CN Equity,45054920.2,100237678.2,92611672.4,90824497.22,81101635.46,81792767.43,82798958.87,83213699.34,80471281.24,76426560.97,73986360.93,76631799.32,74553642.27,72489723.68,68989050.87,68888881.3,68348338.51,63679980.09,61261107.92,59858955.29,59770751,59283627.89,58048248.29,57422752.38,60898499.49,58857750.89,55925063.23,56186854.65,51689927.1,50026459.5,45232880.02,41403390.88,53830401.23,54717778.78,57371760.75,62841958.24,78730056.76,80459641.27,80590196.99,79478186.99,65556961.06,63347201.54,62856001.85,60438559.34,60475737.76
RID/U CN Equity,5764498.809,45270217.9,45648313.52,43546662.14,40258408.74,39376343.25,39711800.58,40832643.51,41071687.7,41043967.44,42273868.75,43086174.96,41677643.2,41846716.02,41580702.78,40433298.11,39396094.32,39670418.93,37957956.41,41367973.14,40339437.87,41104891.97,40458206.18,38987637.33,39703286.74,38968981.93,38786886.6,38507589.72,39054939.08,40268613.82,36830567.55,37099136.83,40645445.25,42008347.32,41558260.15,44373352.05,44044504.64,44245345.21,42467242.81,42937952.04,44328965.19,43878038.41,44854328.16,43128810.88,43675922.87
ZXM CN Equity,36003477.52,5770737.513,5685317.06,5543161.413,5288031.358,5269313.078,5352915.635,6148432.993,6121372.046,5392284.662,5204761.327,5356355.597,6445046.296,6489922.219,6304523.935,6126917.428,6017233.165,4713282.037,5573651.893,5622650.539,5793275.132,5871635.647,5723800.786,5619508.711,5879353.873,5737974.865,6778891.531,6775646.275,6475651.2,6481362.781,7853969.849,7545929.656,7915644.237,8225121.15,7981419.591,8660048.712,8649437.242,8932225.022,9101724.438,9440254.239,9831405.866,9499733.052,9602861.251,8486844.473,9941022.947
ZXM/B CN Equity,22483009.34,35092729.72,35092491.27,35053046.77,33719090.24,33424910.18,32614391.5,32780692.18,32594400.11,32785854.23,32276892.39,33487877.45,34930843.6,34978918.8,33538866.63,31509630.78,30113015.14,29281710.02,27507528.23,30404998.86,31195133.58,31605932.02,31157076.57,30055284.08,28909614.14,28702056.63,28756269.3,29726926.29,28706434.51,29880294.26,28732974.84,27099800.76,30812545.14,31054683.74,29183677.65,52967685.14,54084799.75,64064790.46,61905883.95,63924138.39,36928933.87,36063140.88,33833818.48,32527694.28,34431876.52
FCIM CN Equity,365148998.3,22357022.81,22479654.65,22313340.8,21617231.47,20715938.66,20314609.36,20319828.3,20173864.76,19796116.27,19553093.29,20299222.04,21309897.88,23432684.76,22742844.7,21386269.46,20701943.15,20154006.02,20326349.32,22421780.56,25271943.18,25560043.78,24924104.19,24511869.97,25701957.76,25488325.69,28588031.94,28269248.96,27326104.17,27653515.45,25609215.36,22927195.05,27717202.26,28075854.52,26512749.31,34781628.93,126672344.3,133859619,228198374.3,235488612,262008667.8,257567272.2,255992922.9,249172914.4,271601663.5
MINT/B CN Equity,533083264,326312900.4,299646009.1,255504369.7,221169144.6,207563408.8,186024094.1,176577897.3,150227185.7,139121942.1,121624472.5,107206623.2,91989299.58,83044947.05,67060889.34,48630148.89,42029684.4,37311479.19,33251789.33,29479199.41,30668998.72,28877056.07,25071091.18,22810079.96,20630609.04,19988219.83,18165225.51,15295335.53,14965499.5,13742550.37,12438149.93,11836350.2,12449399.47,12507599.83,11884049.89,10365119.93,10629840.09,8437319.756,8520930.004,8753760.338,9474750.137,6261420.25,6271020.126,6219839.859,9540089.607
IQD/B CN Equity,208745565.3,531322177.7,566010380.7,555567398.1,609691893.5,601044742.4,590205169.6,605623712,585162982.5,582693568.2,560179312.2,583693211,571281472.5,576394100.2,563968544.4,575359324.4,566576130,561546091.8,530172548.1,539077507.1,549282724.5,554001406.4,540696372.4,536187651.7,558489194.3,548428906.5,540872561.6,559182208.7,525771085.5,544242324.3,480219370,434866726.1,458422530.3,470194071,452346336.8,503585671.5,503570991.6,518423924.4,525093925,534883239.3,553214868.3,543711937.7,550526927.7,575689044.1,591799883.1
IQD CN Equity,234330718.9,216174815.1,224671056.5,238895357.4,239658826.8,249937291.1,229098678.9,255059096.4,255448221.5,251104512.9,234292889,237672497.6,201850936.8,224483904.6,197819420.8,182664427.8,124326503.3,119400051.3,109438394.2,113011695.1,113911052.5,114720868.7,112561645.3,106442050.9,112639618,103026182.7,95648640,96573111.97,88351787.05,89353527.6,82810982.97,80116834.72,84886732.92,86648899.61,81252839.93,93250901.99,149373885.8,161796572.1,161566922.4,163338891.1,176452949.7,166987171.2,167024590,163127478.1,171510752
QIE CN Equity,2665308.952,273223889.8,287065104.1,284300150.2,259142213.9,263299470.8,257488047.1,259456725.5,253158385.2,241356215.1,226681537.8,192344371.5,185315125.5,172661704.1,145286675.4,108239501.3,102596355.9,100449566.4,89575448.42,92285984.9,85593199.25,83614124.39,82900478.17,78236807.16,77438618.18,70912219.81,68408211.33,68770459.75,64537081.91,63994697.95,65077441.41,62613359.07,64183800.32,69923519.9,59386358.26,67000341.03,67487419.51,57045598.98,55411018.75,52902639.58,56743453.22,54389458.66,54812081.91,53627858.73,56553559.88
DQI CN Equity,0,79796411.13,80625759.03,78156867.98,69164700.51,69865503.31,65309021,53421954.35,52455297.37,51090452.38,54351155.09,54409992.69,50665933.23,61475678.06,58922867.2,54387899.78,52169625.28,51930834.77,47845616.77,48692824.03,49142667.77,48371843.72,45279949.24,43147074.03,43903615.95,39090030.91,37147997.28,36772285.08,34119061.09,35955720.81,32135319.71,47656920.19,49033784.1,50748364.07,55278946.21,59644091.51,60182895.57,81322285.41,82030195,83979505.78,89251922.61,86372812.65,87297278.31,85524578.19,89016846.47
